"x" "y" "S1" "S2" "S3" "S4" "S5"
147 98 -90 -88 -69 -64 -64
147 98 -90 -88 -69 -64 -64
141 98 -90 -85 -71 -69 -60
135 98 -86 -86 -74 -69 -61
129 98 -85 -87 -73 -72 -58
123 98 -87 -87 -78 -73 -53
117 98 -81 -90 -75 -68 -52
110.7 96 -83 -85 -75 -67 -54
72.3 96 -75 -92 -83 -67 -66
46.7 96 -67 -92 -81 -50 -80
213 94 -92 -67 -47 -82 -81
12 94 -62 -92 -82 -47 -86
110.7 90 -81 -82 -83 -79 -50
46.7 90 -66 -92 -92 -57 -77
213 88 -92 -68 -49 -88 -78
12 88 -65 -92 -92 -47 -86
110.7 84 -83 -86 -81 -77 -47
46.7 84 -65 -92 -89 -55 -79
15.5 82.2 -52 -92 -90 -54 -83
213 82 -92 -61 -54 -86 -76
12 82 -57 -92 -92 -50 -86
110.7 78 -82 -79 -83 -81 -48
46.7 78 -62 -92 -92 -62 -74
213 76 -92 -60 -57 -92 -77
12 76 -53 -92 -92 -48 -79
110.7 126 -92 -92 -77 -73 -61
72.3 126 -84 -92 -81 -65 -77
46.7 126 -78 -92 -86 -56 -82
178 126 -92 -81 -59 -87 -84
153 126 -92 -84 -71 -85 -77
128.6 126 -92 -92 -78 -79 -64
110.7 72 -81 -77 -83 -83 -41
46.7 72 -63 -92 -92 -63 -72
114.7 70.5 -80 -70 -85 -87 -39
213 70 -92 -57 -61 -92 -72
12 70 -53 -92 -92 -52 -81
46.7 66 -59 -92 -92 -63 -73
213 64 -92 -58 -61 -92 -61
12 64 -49 -92 -92 -58 -76
110.7 60 -78 -76 -85 -83 -41
46.7 60 -53 -92 -92 -67 -71
171.4 60 -84 -67 -78 -92 -59
213 58 -84 -56 -62 -92 -58
12 58 -45 -78 -92 -57 -70
75.5 56.7 -66 -79 -92 -88 -57
166.5 56.7 -77 -65 -79 -92 -56
111 56.5 -74 -80 -87 -82 -42
105 56.5 -73 -84 -88 -85 -45
99 56.5 -72 -80 -88 -83 -54
201 56.5 -74 -48 -68 -92 -62
93 56.5 -67 -86 -92 -80 -55
87 56.5 -65 -85 -92 -80 -53
81 56.5 -70 -87 -92 -79 -59
75 56.5 -63 -88 -92 -76 -65
69 56.5 -60 -84 -92 -77 -62
63 56.5 -61 -86 -92 -75 -65
57 56.5 -57 -89 -92 -72 -70
51 56.5 -57 -86 -92 -72 -67
45 56.5 -55 -86 -92 -64 -68
39 56.5 -50 -86 -92 -71 -73
195 56.5 -72 -54 -69 -88 -56
33 56.5 -49 -85 -92 -69 -72
27 56.5 -45 -86 -92 -71 -74
21 56.5 -45 -82 -92 -64 -75
15 56.5 -41 -84 -92 -55 -80
12 56.5 -45 -92 -92 -59 -80
189 56.5 -74 -55 -71 -88 -60
183 56.5 -79 -58 -69 -92 -53
177 56.5 -81 -63 -69 -92 -57
171 56.5 -79 -66 -76 -92 -51
165 56.5 -77 -64 -81 -90 -50
159 56.5 -78 -73 -75 -88 -48
207 56.5 -79 -51 -63 -88 -65
153 56.5 -80 -71 -78 -90 -49
147 56.5 -79 -75 -78 -89 -51
141 56.5 -76 -77 -83 -86 -48
135 56.5 -72 -82 -85 -88 -49
129 56.5 -71 -81 -86 -86 -44
123 56.5 -76 -76 -86 -87 -40
117 56.5 -75 -78 -86 -89 -43
110.7 54 -70 -80 -85 -80 -52
46.7 54 -53 -81 -92 -71 -68
171.4 54 -77 -69 -76 -90 -56
213 124 -92 -68 -44 -82 -92
12 124 -71 -92 -84 -36 -92
213 52 -82 -54 -64 -92 -64
12 52 -40 -92 -92 -58 -77
209 49 -85 -51 -92 -92 -67
110.7 48 -72 -78 -87 -89 -48
171.4 48 -89 -60 -77 -92 -60
213 46 -92 -48 -67 -92 -68
12 46 -39 -92 -92 -57 -80
110.7 42 -77 -78 -86 -92 -56
171.4 42 -88 -66 -79 -92 -60
213 40 -92 -46 -67 -92 -70
12 40 -36 -92 -92 -65 -84
110.7 36 -77 -81 -86 -92 -52
171.4 36 -89 -60 -81 -92 -66
12 34 -42 -92 -92 -68 -85
19 49 -33 -85 -92 -72 -82
213 34 -92 -35 -71 -92 -75
206 120 -92 -67 -38 -81 -84
12 118 -72 -92 -85 -31 -92
110.7 66 -76 -81 -88 -84 -38
